Location ID,Location Name,Location Group,Location Type,Sensor ID,Place Open,Local Date/Time,UTC Date/Time,# of aggregated records,PM2.5 (μg/m³) raw,PM2.5 (μg/m³) corrected,0.3μm particle count,CO2 (ppm) raw,CO2 (ppm) corrected,Temperature (°C) raw,Temperature (°C) corrected,Heat Index (°C),Humidity (%) raw,Humidity (%) corrected,TVOC (ppb),TVOC index,NOX index,PM1 (μg/m³),PM10 (μg/m³),measure0,measure1,measure2,measure3,measure4,measure5,measure6,measure7,measure8,measure9,measure10,measure11,measure12,measure13,measure14,measure15,measure16,measure17,measure18,measure19
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,FALSE,5/24/2026 20:00,2026-05-25T00:00:00.000Z,20,15.6,8.9,1789,460,460,15.5,15.5,15.6,91,91,,33915,19256,10.1,16,409.6,387.6,300.6,297.9,317.3,22.1,7.5,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,5/24/2026 19:00,2026-05-24T23:00:00.000Z,20,13.2,8.1,1620,449,449,16,16,16,87,87,,34055,19559,8.9,13.6,411.3,387.6,300.5,297.8,318,23.7,6.4,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,5/24/2026 18:00,2026-05-24T22:00:00.000Z,20,11.9,7.4,1490,445,445,16.4,16.4,16.5,85,85,,34057,19574,8,12.2,411.7,387.4,300.5,297.8,318.6,24.2,6.3,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,5/24/2026 17:00,2026-05-24T21:00:00.000Z,20,10.4,7,1395,443,443,17.1,17.1,17.1,82,82,,34046,19588,7.4,10.7,412.2,387.5,300.5,297.9,319.6,24.7,5.6,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,5/24/2026 16:00,2026-05-24T20:00:00.000Z,20,12.1,7.9,1586,442,442,17.5,17.5,17.5,80,80,,34040,19604,8.6,12.5,413,387.7,300.5,298.1,319.8,25.3,4.6,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,5/24/2026 15:00,2026-05-24T19:00:00.000Z,20,11,7.1,1415,443,443,17.2,17.2,17.2,80,80,,34074,19709,7.6,11.2,413.2,387.8,300.6,298.1,319.2,25.4,5.1,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,5/24/2026 14:00,2026-05-24T18:00:00.000Z,20,6.8,4.9,974,445,445,16.5,16.5,16.5,81,81,,34191,19902,4.9,6.9,413.9,387.4,299.9,298,318.8,26.5,1.6,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,5/24/2026 13:00,2026-05-24T17:00:00.000Z,20,3.8,3.1,622,446,446,16.7,16.7,16.7,81,81,,34119,19749,2.7,3.9,413,387.7,300.2,298.1,319,25.3,2.5,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,5/24/2026 12:00,2026-05-24T16:00:00.000Z,20,2.5,2.3,460,446,446,16,16,16,83,83,,34180,19907,1.7,2.6,413.8,387.9,300,298.1,318.1,25.8,0.9,,,,,,,,,,,,,
192213,Collocation-Harrisburg-010,,Outdoor,airgradient:588c8135a6ec,TRUE,5/24/2026 11:00,2026-05-24T15:00:00.000Z,20,1.2,1.5,305,448,448,15,15,14.9,87,87,,34226,19996,0.8,1.2,414.1,387.8,300.2,298,316.9,26.3,3.7,,,,,,,,,,,,,
